"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"854","RT @PETTYMAMII: Napping is legit my only form of conflict resolution. Sad, mad,  stressed out, confused all that .. just take a nap <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2017-06-05 05:55:23,FALSE,NA,"871606356301815809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","izzy_bella74",20894,TRUE,FALSE,NA,NA,"513 ","en","http://pbs.twimg.com/profile_images/867236698643726336/hJ4ro7Ad_normal.jpg"
"855","RT @vantablvck: i'm too young to be this stressed",FALSE,0,NA,2017-06-05 05:55:20,FALSE,NA,"871606341583777793",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heymaryonce",10993,TRUE,FALSE,NA,NA,"Port Arthur, TX","en","http://pbs.twimg.com/profile_images/869206127103356928/tra93yqR_normal.jpg"
"856","RT @WindowsXPmemes: when ur extremely stressed out but u keep a positive attitude bc u kno this too shall pass https://t.co/TsErdOfTBZ",FALSE,0,NA,2017-06-05 05:55:19,FALSE,NA,"871606340342366208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Saracayax",3443,TRUE,FALSE,NA,NA,"socal","en","http://pbs.twimg.com/profile_images/862068302721409024/jPEDbN5p_normal.jpg"
"857","How to stay calm when you know you'll be stressed - Daniel Levitin / https://t.co/JWi1eLA2j0 #Leadership #Behaviour #SpaYseSolutions",FALSE,0,NA,2017-06-05 05:55:16,FALSE,NA,"871606327889600512",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","SolutionSpaYse",0,FALSE,FALSE,NA,NA,"London, England","en-gb","http://pbs.twimg.com/profile_images/768464648089792513/yM8gan-4_normal.jpg"
"858","RT @AWolfRuss: today: stressed 
tomorrow: stressed 
next week: stressed 
next month: stressed 
next year: stressed 
next life: stressed",FALSE,0,NA,2017-06-05 05:55:11,FALSE,NA,"871606305319866368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kimixbastiar",621,TRUE,FALSE,NA,NA,"bumi","en","http://pbs.twimg.com/profile_images/865653974162067457/LojNQijs_normal.jpg"
"859","RT @PETTYMAMII: Napping is legit my only form of conflict resolution. Sad, mad,  stressed out, confused all that .. just take a nap <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2017-06-05 05:55:04,FALSE,NA,"871606274093326336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aleexandraaaa_",20894,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/868198616531206145/1KnwFJPN_normal.jpg"
"860","I feel so stressed stressed stressed stressed stressed stressed stressed stressed stressed stressed stressed.",FALSE,0,NA,2017-06-05 05:55:03,FALSE,NA,"871606272298295301",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","urwatsonfan",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/748847523985367040/ggasVf43_normal.jpg"
"861","I feel so stressed stressed stressed stressed stressed stressed stressed stressed stressed stressed stressed.",FALSE,0,NA,2017-06-05 05:55:03,FALSE,NA,"871606271581069312",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","urtaylorsfan",1,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/770206738209443840/YbHM-7bY_normal.jpg"
"862","RT @PETTYMAMII: Napping is legit my only form of conflict resolution. Sad, mad,  stressed out, confused all that .. just take a nap <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2017-06-05 05:55:00,FALSE,NA,"871606257198563328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gabbymontesano",20894,TRUE,FALSE,NA,NA,"Toronto, Ontario","en","http://pbs.twimg.com/profile_images/870878938439983105/LjIP1SAz_normal.jpg"
"863","RT @mysoulkth: Fan: I'm so stressed with my studies. What do I do?

Jin: Me too.

@BTS_twt #BTSWEEK #worldwidehandsome https://t.co/O4yRdVS…",FALSE,0,NA,2017-06-05 05:54:59,FALSE,NA,"871606255474716678",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NamiraShaikh13",8,TRUE,FALSE,NA,NA,"India","en","http://pbs.twimg.com/profile_images/871606461398343680/-uhHoKt4_normal.jpg"
"864","RT @PETTYMAMII: Napping is legit my only form of conflict resolution. Sad, mad,  stressed out, confused all that .. just take a nap <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2017-06-05 05:54:53,FALSE,NA,"871606230640238593",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kkiimbeerllyy",20894,TRUE,FALSE,NA,NA,"sleeping ","en","http://pbs.twimg.com/profile_images/870883328890621952/UIp4k4-6_normal.jpg"
"865","RT @AllahGreatQuran: Quran is beautiful. It makes me happy when I’m sad, relaxes when I’m stressed, supports when I’m weak. ALLAH’s words a…",FALSE,0,NA,2017-06-05 05:54:48,FALSE,NA,"871606209794764801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LamiDakar",254,TRUE,FALSE,NA,NA,"Abuja nig ","en","http://pbs.twimg.com/profile_images/867781640843603969/crJbKJm__normal.jpg"
