created,text,retwc,hashtag,followers,friends
2017-05-02 17:58:32,"b'""Remember, most of your stress comes from the way you respond, not the way life is. Just adjust your attitude"".  #MartesDeGanarSeguidores'",0,MartesDeGanarSeguidores,534,27
2017-05-02 17:58:30,b'RT @DOPEDAEGU: I vote @BTS_twt for Top Social Artist Award #BTSBBMAs\n\ni cant stress enough how jimin looks SO GOOD with everything he just\xe2\x80\xa6',747,BTSBBMAs,0,4
2017-05-02 17:58:28,b'@ASunshineDance I think I absolutely will! Need some good stress relief!\xe2\x9d\xa4',0,None,39,93
2017-05-02 17:58:28,"b'RT @DickHumbler: Be thankful for little things. Growth, clean water, food, warm bed. Right now someone is praying for the life you complain\xe2\x80\xa6'",877,None,1474,1204
2017-05-02 17:58:23,"b""RT @SE_CE_MIND: Are you struggling to cope? Don't let stress wear you down, we are here to help. #Southend #MentalHealth #Stress https://t.\xe2\x80\xa6""",7,Southend,19219,8035
2017-05-02 17:58:22,"b""I cannot Bc I don't have the time to stress myself wondering if he's cheating on me all the time https://t.co/eISyo8Jan6""",0,None,2554,1338
2017-05-02 17:58:22,"b'RT @IntThings: Remember, most of your stress comes from the way you respond, not the way life is. Adjust your attitude, and all that extra\xe2\x80\xa6'",1042,None,401,171
2017-05-02 17:58:21,"b""RT @Gman_highlife: Roses are red\nToday's been stress \nI jus wnna get home &amp; Suk sum bresss""",1,None,222,566
2017-05-02 17:58:20,b'RT @UrFavritAsshole: CAPRICORN: U THINK TOO MUCH ABOUT BULLSHIT &amp; STRESS OVER IT FOR NOTHING. IF ITS NOT EFFECTING YOUR HEALTH OR MONEY DON\xe2\x80\xa6',57,None,165,93
2017-05-02 17:58:19,"b""RT @Dono_TheDon: I pay $20,000+ a year to stress myself out over work that doesn't necessarily reflect my intellect, but may or may not inf\xe2\x80\xa6""",43,None,1068,1166
2017-05-02 17:58:18,"b""RT @byekhanyi: don't stress us please https://t.co/Gjm1I4kHV1""",340,None,2049,1461
2017-05-02 17:58:18,"b'RT @DickHumbler: Be thankful for little things. Growth, clean water, food, warm bed. Right now someone is praying for the life you complain\xe2\x80\xa6'",877,None,1440,1018
2017-05-02 17:58:18,b'RT @elisabracelandd: Cannot stress how IMPORTANT it is to tell people you love them while you  still can',131,None,2852,2036
2017-05-02 17:58:18,"b'RT @UrFavritAsshole: LIBRA: DONT LET ANYTHING STRESS U OUT, U HAVE ENOUGH TO DEAL WITH RIGHT NOW. HANDLE WHAT U CAN AND LEAVE DA REST IN GO\xe2\x80\xa6'",101,None,635,622
2017-05-02 17:58:14,"b""RT @Fact: Don't cry over the past, it's gone. Don't stress about the future, it hasn't arrived. Live in the present and make it beautiful.""",293,None,576,474
2017-05-02 17:58:12,"b""RT @OnlyFuturistic: Don't stress over what you can't control.""",705,None,179,70
2017-05-02 17:58:06,"b'RT @911well: Stressed? Practice Child Pose -Calms the brain,  helps relieve stress &amp; fatigue 4-5 time daily #Mindfulness #healing https://t\xe2\x80\xa6'",46,Mindfulness,169,165
2017-05-02 17:58:06,"b""RT @byekhanyi: don't stress us please https://t.co/Gjm1I4kHV1""",340,None,683,477
2017-05-02 17:58:06,b'Find out how one Portland hospital system is using nature to help employees combat #workplacestress\xe2\x80\xa6 https://t.co/d6jU73RRvF',0,workplacestress,12538,1091
