created,text,retwc,hashtag,followers,friends
5/5/2017 1:49,"b""RT @kissmeyoufoolLS: honestly when 1D comes back we all should get free tickets to their show because of all this stress they've caused us\xe2\x80\xa6""",1372,None,316,571
5/5/2017 1:49,b'RT @3xM_Home: You spend a lot of time in your #home. Create a space that will help #relax and rejuvenate!\n\nhttps://t.co/ZoYPM2FEPn\n\n#Interi\xe2\x80\xa6',69,home,137,5003
5/5/2017 1:49,b'RT @3xM_Home: You spend a lot of time in your #home. Create a space that will help #relax and rejuvenate!\n\nhttps://t.co/ZoYPM2FEPn\n\n#Interi\xe2\x80\xa6',69,home,149,5003
5/5/2017 1:49,b'RT @3xM_Home: You spend a lot of time in your #home. Create a space that will help #relax and rejuvenate!\n\nhttps://t.co/ZoYPM2FEPn\n\n#Interi\xe2\x80\xa6',69,home,130,5003
5/5/2017 1:49,b'RT @3xM_Home: You spend a lot of time in your #home. Create a space that will help #relax and rejuvenate!\n\nhttps://t.co/ZoYPM2FEPn\n\n#Interi\xe2\x80\xa6',69,home,210,5003
5/5/2017 1:49,b'RT @3xM_Home: You spend a lot of time in your #home. Create a space that will help #relax and rejuvenate!\n\nhttps://t.co/ZoYPM2FEPn\n\n#Interi\xe2\x80\xa6',69,home,150,5002
5/5/2017 1:49,b'RT @3xM_Home: You spend a lot of time in your #home. Create a space that will help #relax and rejuvenate!\n\nhttps://t.co/ZoYPM2FEPn\n\n#Interi\xe2\x80\xa6',69,home,142,5003
5/5/2017 1:49,b'RT @3xM_Home: You spend a lot of time in your #home. Create a space that will help #relax and rejuvenate!\n\nhttps://t.co/ZoYPM2FEPn\n\n#Interi\xe2\x80\xa6',69,home,147,5002
5/5/2017 1:49,b'Just started randomly crying bc is stress',0,None,1167,1137
5/5/2017 1:49,b'RT @mindfulive: A 5 Minute Tea Meditation That Trains Your Brain to De-Stress and Be Present via @ideaS https://t.co/Nv4SDgiKNj',21,None,1641,3367
5/5/2017 1:49,b'RT @3xM_Home: You spend a lot of time in your #home. Create a space that will help #relax and rejuvenate!\n\nhttps://t.co/ZoYPM2FEPn\n\n#Interi\xe2\x80\xa6',69,home,97,164
5/5/2017 1:49,b'Yes!bless! God now my stress level are on a whole other level\xf0\x9f\x98\xac\xf0\x9f\x98\xac\xf0\x9f\x98\xacGOOD LUCK everyone \xf0\x9f\x92\x9a https://t.co/rZRrhrYsve',0,None,228,449
5/5/2017 1:49,"b""Power outage in the morning, tornado sirens &amp; basement shelter in the evening. Honestly I can't stress how important it is to not live here""",0,None,107,40
5/5/2017 1:49,"b""RT @McKenzieFulle12: Would love to see @chaseelliott in victory lane this weekend so we can get locked into the chase and don't have to str\xe2\x80\xa6""",2,None,174,102
5/5/2017 1:49,"b'@HydraCyborg ""Maybe not, but I can help you stress a bit less.""'",0,None,1636,861
5/5/2017 1:49,"b'RT @activist360: Tragically, stress &amp; anxiety of knowing w/ a pre-existing condition insurance will be unaffordable \xe2\x80\x94 this alone will kill\xe2\x80\xa6'",153,None,1185,1514
5/5/2017 1:49,"b""RT @maggidayacap: my nerves just kicked in this is pre audition stress i'm so scared homayged""",1,None,924,689
5/5/2017 1:49,b'This last lil assignment about to stress me tf out\xf0\x9f\x92\x86\xf0\x9f\x8f\xbe',0,None,1080,445
5/5/2017 1:49,"b'RT @danimaxmusic: Don\'t stress about not being ""enough"" for someone else. Focus on being incredible just for you'",10,None,368,300
5/5/2017 1:49,b'Jolly Jasper after his low stress handling grooming by Miss Jessica.',0,None,21,12
5/5/2017 1:49,"b'oh, &amp; s/o to my baby sarah for listening to my ideas and talking through the whole book with me; the reason i made it through the stress\xe2\x9d\xa4\xef\xb8\x8f'",0,None,766,440
5/5/2017 1:49,b'RT @relationship_pn: Stress is caused by caring.',11,None,22,96
5/5/2017 1:49,b'BITCH DO YOUR SQUATS EAT YOUR FRUITS GET AN EDUCATION MAKE THAT PUSSY POP AND MAKE THAT MONEY RAIN DONT STRESS OVER NO NIGGA',0,None,332,315
5/5/2017 1:49,b'RT @juliiia_hall: my patience/stress level is at an all time high &amp; I cannot wait to go out tomorrow night &amp; dance away all my worries.',1,None,189,387
5/5/2017 1:49,"b""RT @kissmeyoufoolLS: honestly when 1D comes back we all should get free tickets to their show because of all this stress they've caused us\xe2\x80\xa6""",1372,None,2819,917
5/5/2017 1:49,"b'When I play my music, all my problems, stress, bad moods disappear for a while.  :-)'",0,None,118,193
5/5/2017 1:49,b'RT @floraIgucci: me: harry why did you make this so stress-\nharry: haRRy WhY dId YoU mAKe tHIs sO sTrEssFuL lookin ass just shut up and tak\xe2\x80\xa6',211,None,143,342
5/5/2017 1:49,b'My stress level is at a 10 right now',0,None,157,107
5/5/2017 1:49,b'RT @Jade_Tiera: To anyone that said your senior year is the best...  FUCK. YOU. \xf0\x9f\x98\x82\xf0\x9f\x98\x82this shit is nothing but STRESS.',11,None,364,638
5/5/2017 1:49,"b'RT @activist360: Tragically, stress &amp; anxiety of knowing w/ a pre-existing condition insurance will be unaffordable \xe2\x80\x94 this alone will kill\xe2\x80\xa6'",153,None,1839,2428
5/5/2017 1:49,b'Honestly fuck harry for making me go through all this stress',0,None,1230,462
5/5/2017 1:49,b'I have gained so much weight this year from stress. \xf0\x9f\x99\x82',0,None,1341,519
5/5/2017 1:49,b'my stress level is through the roof rn i need a break from reality',0,None,320,314
5/5/2017 1:49,"b""RT @shadowmelody1: If anyone needs a reprieve from (political) stress and exhaustion @ghostly's Twitter game is on rn and just the right ki\xe2\x80\xa6""",2,None,1303,2434
5/5/2017 1:49,b'RT @floraIgucci: me: harry why did you make this so stress-\nharry: haRRy WhY dId YoU mAKe tHIs sO sTrEssFuL lookin ass just shut up and tak\xe2\x80\xa6',211,None,302,235
5/5/2017 1:49,b'@amberdiscko Looking forward to the roll out of pint slices for all our future stress eating of glucose brain sugar that becomes dopamine.',0,None,429,727
5/5/2017 1:49,"b""RT @Shareblue: Chances are Trumpcare won't pass the Senate, but the stress of the possibility is immediate.\n\nEngage in self care. We need y\xe2\x80\xa6""",89,None,213,676
5/5/2017 1:49,"b""My stress and anxiety is already very high and this doesn't make it any easier on me.""",0,None,36,4
5/5/2017 1:49,"b""RT @Melissa8234: Some people aren't worth the damn stress..""",723,None,241,323
5/5/2017 1:49,b'If you ever need something to stress about just start researching the worlds seed supply',0,None,1079,873
5/5/2017 1:49,b'RT @clearlyyaqueen: The stress has kicked in https://t.co/Fs2DZuwv05',776,None,2525,180
5/5/2017 1:49,"b'RT @HealingMB: Stressed? Walking activates soothing neurons in the brain which reduces stress, anxiety &amp; even depression #healing https://t\xe2\x80\xa6'",73,healing,1144,2494
5/5/2017 1:49,b'RT @LiveLaughLyjah: Lack of sex causes stress and attitude \xf0\x9f\x98\xaa',15,None,158,192
5/5/2017 1:49,b'My stress level significantly drops when I hear the narrators voices of Forensic Files and Snapped',0,None,120,154
5/5/2017 1:49,b'RT @markiplier: A day without pants is a day without stress',6767,None,7,23
5/5/2017 1:49,b'Stress laid on digital #Marketing https://t.co/KQWn60iQXr',0,Marketing,2171,451
5/5/2017 1:49,"b""Maybe they wanna be me but that is some I'll never stress \xf0\x9f\x98\x8f\xe2\x80\xbc\xef\xb8\x8f https://t.co/vHjmotMPAQ""",0,None,874,733
5/5/2017 1:49,"b""RT @Shareblue: Chances are Trumpcare won't pass the Senate, but the stress of the possibility is immediate.\n\nEngage in self care. We need y\xe2\x80\xa6""",89,None,459,801
5/5/2017 1:49,"b'Juan, you are looking ragged.  Are you feeling okay?  Is the stress of being on the left getting to you?  Are you tired of being an idiot?'",0,None,2,14
5/5/2017 1:48,b'RT @Perlalala_11: Someone take me to relieve stress please https://t.co/LR39dAcQn1',22,None,541,406
5/5/2017 1:48,b'Things I Miss About My Childhood:\n? No problems\n? No hates\n? No shames\n? No stress\n? No heartbreaks\n? No school\n? Life was easier\n? Cartoons',0,None,10477,9614
5/5/2017 1:48,"b""Music is one of the greatest divine gifts that we have.  It's actually known to decrease stress and anxiety.""",0,None,312,572
5/5/2017 1:48,"b""RT @ZekeTulloch: i don't deal with stress well""",4,None,813,947
5/5/2017 1:48,"b'RT @danimaxmusic: Don\'t stress about not being ""enough"" for someone else. Focus on being incredible just for you'",10,None,289,296
5/5/2017 1:48,b'RT @alison_marie22: Trying my hardest not to stress\xf0\x9f\x98\x85',3,None,126,177
5/5/2017 1:48,"b""Would love to see @chaseelliott in victory lane this weekend so we can get locked into the chase and don't have to stress so much!""",2,None,226,1167
5/5/2017 1:48,b'RT @degg: gay: sticking a dildo up your ass\n\nNOT GAY: sucking on a dildo while driving to work because it relieves stress. a lot of guys do\xe2\x80\xa6',352,None,153,115
5/5/2017 1:48,"b""RT @FactsOfSchool: me:*is nearly exploding from stress*\n\nme: ah yes it's the perfect time to begin the tv series I've watched 6 times alrea\xe2\x80\xa6""",1397,None,25,57
5/5/2017 1:48,"b""RT @Yegfit: It is almost Friday!! Here's why you shouldn't stress about that after-work beer tomorrow. https://t.co/BDk0BbXOgU https://t.co\xe2\x80\xa6""",3,None,5431,3125
5/5/2017 1:48,"b'RT @activist360: Tragically, stress &amp; anxiety of knowing w/ a pre-existing condition insurance will be unaffordable \xe2\x80\x94 this alone will kill\xe2\x80\xa6'",153,None,474,709
5/5/2017 1:48,b'Me laughing at people that stress about every single thing. #nostress https://t.co/q3P9lSXmXW',0,nostress,102,479
5/5/2017 1:48,"b""@indeewetrust If it's a man, it's stress lol agreed""",0,None,1310,656
5/5/2017 1:48,b'On a whole new level of stress rn',0,None,496,585
5/5/2017 1:48,"b'I wish I could stress the importance of providing a tracking no, project update, sales projection at 1000x intervals 9400109699937552855895'",0,None,5851,154
5/5/2017 1:48,"b'An unlikely study spot, but stress will do odd things to a person. https://t.co/Ipt3VLJ0gS'",0,None,142,242
5/5/2017 1:48,b'Release the exams stress and come Kick off the summer the right way up inna the bad dance as\xe2\x80\xa6 https://t.co/9fJpboP5eF',0,None,901,296
5/5/2017 1:48,"b""RT @ctaylsaurus: Tag yourself, I'm stress-buying too many groceries and then stress-recognizing my privilege for having been able to do so.""",1,None,443,69
5/5/2017 1:48,"b""I need to get back on this I'm starting to stress lmao https://t.co/SdUImhe7Mz""",0,None,1787,149
5/5/2017 1:48,b'RT @_KarolFortes: Que stress',6,None,360,315
5/5/2017 1:48,"b""RT @idillionaire: Relax. Trust that everything is in the right order and you are right where you need to be. Don't chase, don't worry, don'\xe2\x80\xa6""",327,None,281,279
5/5/2017 1:48,"b""RT @R1DEAD: Don't stress over people hatin on your progression. Misery loves company so they'll do everything they can to drag you down""",5,None,768,308
5/5/2017 1:48,"b""RT @_vicdagoat: I'm stressed that I don't have anything to stress about since the semester over lol""",8,None,1789,547
5/5/2017 1:48,"b""RT @khanshehroz312: #UNHCR: AG cites Yakub Memon's 2AM hearing to stress on India's human rights credentials https://t.co/6bRAec6kdt @asado\xe2\x80\xa6""",7,UNHCR,33579,934
5/5/2017 1:48,b'stress doodle https://t.co/AIy06s5UI6',0,None,84,64
5/5/2017 1:48,"b'RT @ButWhyCare: Das it. And my man would get out of finals phone fludded with nudes and a text saying ""I\'ll relieve of your stress when you\xe2\x80\xa6'",1,None,1651,1217
5/5/2017 1:48,"b""RT @omgfeeIs: everything is temporary, don't stress""",352,None,1527,923
5/5/2017 1:48,"b'RT @activist360: Tragically, stress &amp; anxiety of knowing w/ a pre-existing condition insurance will be unaffordable \xe2\x80\x94 this alone will kill\xe2\x80\xa6'",153,None,372,154
5/5/2017 1:48,"b'What he said. Exactly what he said. Someone mentioned ""Stupak amendment"" the other day and I shuddered out of resid\xe2\x80\xa6 https://t.co/L4aZHGbhKU'",0,None,313,1114
5/5/2017 1:48,"b'RT @sp00kyskeletxn: who is ""healthy ways to cope w stress""??? i dont know her'",3,None,1327,376
5/5/2017 1:48,b'RT @_KarolFortes: Que stress',6,None,1798,989
5/5/2017 1:48,b'something about running gets me in a good mood. i start on the treadmill and stare into the distance and run &amp; it relieves so much stress.\xf0\x9f\x98\xad\xf0\x9f\x92\x96',0,None,198,185
5/5/2017 1:48,"b'RT @thegooglefact: Eating your food slowly will help you lose weight, enjoy your food, reduce stress, and lead to better digestion.'",77,None,471,949
5/5/2017 1:48,"b'For all them young cats out there, I don\'t know how to stress enough ""Minding your business"" is \xe2\x80\xa6'",0,None,1070,1085
5/5/2017 1:48,b'RT @shvwnixaac: What do I look like letting you stress me out and we not even dating?',2,None,817,395
5/5/2017 1:48,b'RT @ICRS_Society: Fascinating new paper from the Patel lab on endocannabinoids and stress resilience https://t.co/Dw70s8D52U',8,None,1970,4981
5/5/2017 1:48,"b""@chrissyteigen pay your own bill, what can't handle stress, GROW UP. Great role model for your kid, can't handle stress. Oh wait safe place""",0,None,16,50
5/5/2017 1:48,b'RT @clearlyyaqueen: The stress has kicked in https://t.co/Fs2DZuwv05',776,None,1286,1276
5/5/2017 1:48,b'RT @clearlyyaqueen: The stress has kicked in https://t.co/Fs2DZuwv05',776,None,1247,594
5/5/2017 1:48,"b'RT @mashable: Sleep a little better, stress a little less https://t.co/Zjdw5XvvFv'",41,None,601,544
5/5/2017 1:48,"b'RT @mashable: Sleep a little better, stress a little less https://t.co/Zjdw5XvvFv'",41,None,823,207
5/5/2017 1:48,b'Que stress',6,None,1217,540
