,username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
my body: so did it help?,225,None,56691,813,0,0,,,,
0,AcneSkinSite,143014330,5/17/17 1:45,"Pamper yourself. If you're feeling stressed, your skin is going to show it. Treat yourself and your skin to a home made spa day.",459,None,834202,6,0,0
1,Mark Medina,19319374,5/17/17 1:10,"On using No. 2 pick to draft player or trading it, Magic Johnson and Rob Pelinka stressed importance of keeping long term future in mind",94,None,42219,1421,0.15,0.508333333
2,Funny Or Die,15693493,5/16/17 22:00,"Stressed out trying to keep up with Trump, Comey, Russia leaks, etc? Try this new meditation on for size. https://t.co/WPisvtclM7",129,None,14199756,5686,0.136363636,0.454545455
3,Sahil Kapur,19847765,5/17/17 14:18,"In opening remarks at presser, Paul Ryan and his leadership team stressed tax reform. Then every question he got was about Trump/FBI/Russia.",74,None,61429,522,0,0
4,Vogue Magazine,136361303,5/16/17 18:04,6 ways to sleep when you're stressed: https://t.co/AaN1LW1I5S,41,None,12780958,530,0,0
5,Becca Tilley,31047270,5/18/17 4:15,I am NERVOUS for the Grey's finale tomorrow!Just watched last weeks episode &amp; feeling STRESSED. What would I tweet about without this show?,37,None,220710,282,-0.025,0.083333333
6,Randi Mayem Singer,372563164,5/17/17 22:47,Trump's probably so stressed out right now no amount of Russian hooker pee can calm him.,41,None,13496,452,0.195238095,0.428571429
7,Kira Kosarin,598986879,5/16/17 19:04,I'm eating chicken with tomato sauce while wearing a white shirt and I've never been so stressed,50,None,195352,1218,-0.3,0.475
8,Melissa Ponzio,716447274,5/17/17 2:50,i didn't breath the last two minutes...#ChicagoFireFinale got me #STRESSED,46,ChicagoFireFinale,570236,7297,0,0.066666667
9,Ari Sytner M.Ed LMSW,37844996,5/16/17 14:21,"You may not feel stressed. But if you are easily angered, frustrated or impatient - you likely are. De-stress by taking time to recenter.",36,None,190564,161547,-0.4125,0.7375
10,Blindspot,2994020017,5/18/17 0:33,Raise your hand if you're stressed out. #Blindspot,36,Blindspot,170119,285,0,0
11,BloombergQuint,7.15E+17,5/18/17 2:20,"Stressed assets higher than the net worth of Indian banks, says McKinsey. @visshy_it reportshttps://t.co/WafIQlcif0 https://t.co/5agMFgfcfA",19,None,12880,321,0.183333333,0.2
12,BloombergQuint,7.15E+17,5/17/17 14:54,.@McKinsey warns of perfect storm as banks' stressed assets surpass net worth.,,,,,,
,,,,,,,,,,
@visshy_it reports... https://t.co/ormvd3UcUy,16,None,12880,321,0.433333333,0.366666667,,,,
13,Laurence Tribe,4091551984,5/16/17 2:26,".@RepAlGreen rightly stressed on @allinwithchris that impeachment is like indictment, not conviction, which demands... https://t.co/Am2T7P1yk7",276,None,126590,1052,0.285714286,0.535714286
14,Ira Dugal,558654135,5/17/17 17:08,"Bank stressed assets more than their net worth, says McKinsey. https://t.co/a5vuZ1oMMt https://t.co/RSrDLnO0oj",15,None,7033,625,0.266666667,0.2
15,Grayson Dolan,2156278138,5/12/17 2:40,I woke up stressed and down today and it turned out to be an amazing day. Stay positive and life will continue to get better.,8148,None,2689809,17041,0.292929293,0.558585859
16,Grayson Dolan,2156278138,5/11/17 17:18,When you're so stressed that real life bs follows you to your dreams and stresses you out while you're asleep ,7906,None,2689809,17041,0.2,0.3
17,Katya,175180732,5/14/17 20:09,Too blessed to be stressed when your mom's the best. #MothersDay https://t.co/EEvZFQztRP,708,MothersDay,254639,739,1,0.3
18,FutureFemaleLeaders,624849630,5/14/17 13:45,Stressed *calls mom*,,,,,,
Happy *calls mom*,,,,,,,,,,
Anxious *calls mom*,,,,,,,,,,
Sad *calls mom*,,,,,,,,,,
,,,,,,,,,,
Excited *calls mom*,,,,,,,,,,
,,,,,,,,,,
Annoyed *calls mom*,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Happy #MothersDay!,596,MothersDay,49727,453,0.170833333,0.925,,,,
